elapsed_ms,cpu_pct,workers_active,queue_len
21792,75,5,452
21802,75,5,452
21812,75,5,452
21822,75,5,452
21833,100,5,451
21843,100,5,451
21853,100,5,451
21863,100,5,451
21873,100,5,451
21883,100,5,451
21894,100,5,451
21904,100,5,450
21914,100,5,450
21924,100,5,448
21935,100,5,448
21945,100,5,448
21955,75,5,447
21965,75,5,447
21975,75,5,447
21986,75,5,447
21996,75,5,447
22006,75,5,447
22016,75,5,447
22026,75,5,447
22036,75,5,446
22047,75,5,446
22057,75,5,446
22067,75,5,446
22077,75,5,446
22087,75,5,446
22098,75,5,446
22108,100,5,445
22118,100,5,445
22128,100,5,443
22138,100,5,443
22148,100,5,443
22159,100,5,442
22169,100,5,442
22184,100,5,442
22196,100,5,442
22207,100,5,442
22219,100,5,442
22230,100,5,442
22240,75,5,441
22250,75,5,441
22260,75,5,441
22271,75,5,441
22281,75,5,441
22291,75,5,441
22301,75,5,440
22311,75,5,440
22321,100,5,438
22332,100,5,438
22342,100,5,438
22352,100,5,437
22362,100,5,437
22372,100,5,437
22383,100,5,437
22393,100,5,437
22403,100,5,437
22413,100,5,437
22423,100,5,437
22433,100,5,436
22443,100,5,436
22454,100,5,436
22464,100,5,436
22474,100,5,436
22484,100,5,436
22494,100,5,436
22505,75,5,435
22515,75,5,435
22525,100,5,433
22535,100,5,433
22545,100,5,433
22555,100,5,432
22566,100,5,432
22576,100,5,432
22586,100,5,432
22596,100,5,432
22606,100,5,432
22618,100,5,432
22629,100,5,432
22640,100,5,431
22651,100,5,431
22661,100,5,431
22672,100,5,431
22682,100,5,431
22692,100,5,431
22702,100,5,430
22713,100,5,430
22723,75,5,428
22733,75,5,428
22743,75,5,428
22753,100,5,427
22764,100,5,427
22774,100,5,427
22784,100,5,427
22794,100,5,427
22804,100,5,427
22814,100,5,427
22825,100,5,427
22835,100,5,426
22845,100,5,426
22855,100,5,426
22865,100,5,426
22875,100,5,426
22886,100,5,426
22896,100,5,426
22906,100,5,425
22916,100,5,425
22926,100,5,423
22936,100,5,423
22947,100,5,423
22957,75,5,422
22967,75,5,422
22977,75,5,422
22987,75,5,422
22998,75,5,422
23008,75,5,422
23018,75,5,422
23028,75,5,422
23038,100,5,421
23049,100,5,421
23059,100,5,421
23069,100,5,421
23079,100,5,421
23089,100,5,421
23099,100,5,421
23110,100,5,420
23120,100,5,420
23130,100,5,418
23140,100,5,418
23150,100,5,418
23160,100,5,417
23171,100,5,417
23181,100,5,417
23191,100,5,417
23201,100,5,417
23212,100,5,417
23222,100,5,417
23232,100,5,417
23242,75,5,416
23252,75,5,416
23262,75,5,416
23273,75,5,416
23283,75,5,416
23293,75,5,416
23303,100,5,415
23313,100,5,415
23323,100,5,413
23334,100,5,413
